country,metric,value,unit,year,source_org,source_doc,source_url,status,notes
China,社会物流总费用,19.0,万亿元,2024,中国物流与采购联合会(CFLP),2024年物流运行情况通报,https://www.ndrc.gov.cn/xwdt/ztzl/shwltj/qgsj/202502/t20250214_1396183.html,verified,同比+4.1%
China,社会物流总额,360+,万亿元,2024,中国物流与采购联合会(CFLP),2024年物流运行情况通报,https://www.gov.cn/yaowen/liebiao/202502/content_7003950.htm,verified,同比+5.8%(实际增长)
China,运输费用,~10.3,万亿元,2024,中国物流与采购联合会(CFLP),2024年物流运行情况通报,https://www.ndrc.gov.cn/xwdt/ztzl/shwltj/qgsj/202502/t20250214_1396183.html,verified,占GDP 7.6%(下降0.2pp)
China,管理费用,~2.3,万亿元,2024,中国物流与采购联合会(CFLP),2024年物流运行情况通报,https://www.ndrc.gov.cn/xwdt/ztzl/shwltj/qgsj/202502/t20250214_1396183.html,verified,占GDP 1.7%
China,保管成本,~6.5,万亿元,2024,中国物流与采购联合会(CFLP),2024年物流运行情况通报,https://www.ndrc.gov.cn/xwdt/ztzl/shwltj/qgsj/202502/t20250214_1396183.html,verified,占GDP 4.8%
China,物流费用占GDP比率,14.1,%,2024,中国物流与采购联合会(CFLP),2024年物流运行情况通报,https://www.ndrc.gov.cn/xwdt/ztzl/shwltj/qgsj/202502/t20250214_1396183.html,verified,降至2006年统计以来最低;较2023年下降0.3pp
China,中国GDP(2024),134.9,万亿元,2024,国家统计局,2024年国民经济和社会发展统计公报,https://www.stats.gov.cn/sj/zxfb/202502/t20250228_1958817.html,verified,初步核算;同比+5.0%
US,Total business logistics cost (USBLC),2.58,万亿美元,2024,Council of Supply Chain Management Professionals (CSCMP),35th Annual State of Logistics Report (released June 2025),https://www.penskelogistics.com/insights/industry-reports/state-of-logistics-report/,verified,同比2023年的$2.45T;主要受水运成本+93.1%驱动
US,Transportation cost subtotal,~1.6,万亿美元,2024,CSCMP,35th Annual State of Logistics Report,https://www.penskelogistics.com/insights/industry-reports/state-of-logistics-report/,partial,运输成本(motor carrier+rail+water+air+pipeline+parcel)
US,Inventory carrying cost,~0.6,万亿美元,2024,CSCMP,35th Annual State of Logistics Report,https://www.penskelogistics.com/insights/industry-reports/state-of-logistics-report/,partial,库存持有成本
US,Other (mgmt+admin),~0.4,万亿美元,2024,CSCMP,35th Annual State of Logistics Report,https://www.penskelogistics.com/insights/industry-reports/state-of-logistics-report/,partial,管理与行政
US,USBLC占GDP比率,8.8,%,2024,CSCMP,35th Annual State of Logistics Report,https://www.penskelogistics.com/insights/industry-reports/state-of-logistics-report/,verified,2024 = 8.8%(同2023);初版2024报告称8.7%但2025更新为8.8%
US,US GDP (2024),29.18,万亿美元,2024,US Bureau of Economic Analysis (BEA),Q4 2024 Advance Estimate,https://www.bea.gov/data/gdp/gross-domestic-product,verified,$29.18T 2024 nominal GDP
US,Exchange rate (年均),7.20,人民币/美元,2024,中国人民银行,2024 平均汇率,https://www.pbc.gov.cn/,verified,2024 全年平均
US,USBLC折人民币,18.6,万亿元,2024,CSCMP×汇率,$2.58T × 7.20,https://www.penskelogistics.com/insights/industry-reports/state-of-logistics-report/,verified,与中国 19.0 万亿元接近(差 4 千亿)
